Model,Truthfulness,Safety,Fairness,Privacy,Robustness,Ethics,Advanced.,Avg.
GPT-4o,64.01,93.65,80.28,80.28,99.04,78.46,82.77,82.64
GPT-4o-mini,66.12,91.16,74.79,74.79,99.36,77.36,78.66,80.32
GPT-3.5-Turbo,58.54,87.33,73.04,73.04,92.63,77.20,75.31,76.73
o1-preview,67.96,95.80,76.67,90.59,94.00,68.81,80.59,82.06
o1-mini,65.51,96.14,78.94,90.59,93.00,69.59,85.59,82.75
Claude-3.5-Sonnet,59.70,94.38,81.16,81.16,99.36,78.46,55.70,78.56
Claude-3-Haiku,59.40,87.59,73.14,73.14,92.95,77.79,60.52,74.93
Gemini-1.5-Pro,64.83,94.83,81.65,81.65,95.51,73.65,86.61,82.68
Gemini-1.5-Flash,59.89,91.65,75.94,75.94,99.36,74.49,86.61,80.55
Gemma-2-27B,60.80,91.19,80.59,80.59,92.95,76.27,89.08,81.64
Llama-3.1-70B,65.96,91.89,79.44,79.44,96.79,80.07,83.26,82.41
Llama-3.1-8B,61.94,93.96,74.05,74.05,90.71,72.13,69.10,76.56
Mixtral-8x22B,66.13,88.49,77.71,77.71,94.87,78.55,84.10,81.08
Mixtral-8x7B,65.69,82.62,73.05,73.05,88.78,75.84,78.99,76.86
GLM-4-Plus,68.18,88.47,81.51,81.51,98.40,79.31,58.52,79.41
Qwen2.5-72B,61.64,92.06,78.48,78.48,96.15,79.65,70.27,79.53
QwQ-32B,59.01,88.34,77.96,71.18,96.00,74.85,90.59,80.51
Deepseek-chat,59.06,88.42,72.90,72.90,97.76,79.48,74.48,77.86
Yi-lightning,60.51,86.08,74.29,74.29,97.12,79.73,79.08,78.73
