Model,Model Size,Open-Weight,Version,Creator,Source,Link
GPT-4o,N/A,No,2024-08-06,OpenAI,OpenAI API,https://openai.com/index/hello-gpt-4o/
GPT-4o-mini,N/A,No,2024-07-18,OpenAI,OpenAI API,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
GPT-3.5-Turbo,N/A,No,0125,OpenAI,OpenAI API,https://openai.com/blog/chatgpt
o1-preview,N/A,No,2024-09-12,OpenAI,OpenAI API,https://openai.com/o1/
o1-mini,N/A,No,2024-09-12,OpenAI,OpenAI API,https://openai.com/o1/
Claude-3.5-Sonnet,N/A,No,20240620,Anthropic,Anthropic API,https://www.anthropic.com/news/claude-3-5-sonnet
Claude-3-Haiku,N/A,No,20240307,Anthropic,Anthropic API,https://www.anthropic.com/news/claude-3-family
Gemini-1.5-Pro,N/A,No,002,Google,Gemini API,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/
Gemini-1.5-Flash,N/A,No,002,Google,Gemini API,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/
Gemma-2-27B,27B,Yes,it,Google,Deepinfra API,https://blog.google/technology/developers/google-gemma-2/
Llama-3.1-70B,70B,Yes,instruct,Meta,Deepinfra API,https://ai.meta.com/blog/meta-llama-3-1/
Llama-3.1-8B,8B,Yes,instruct,Meta,Deepinfra API,https://ai.meta.com/blog/meta-llama-3-1/
Mixtral-8x22B,8x22B,Yes,instruct-v0.1,Mistral,Deepinfra API,https://mistral.ai/news/mixtral-8x22b/
Mixtral-8x7B,8x7B,Yes,instruct-v0.1,Mistral,Deepinfra API,https://mistral.ai/news/mixtral-of-experts/
GLM-4-Plus,N/A,Yes,N/A,ZHIPU AI,Zhipu API,https://bigmodel.cn/dev/howuse/glm-4
Qwen2.5-72B,72B,Yes,instruct,Qwen,Deepinfra API,https://qwenlm.github.io/zh/blog/qwen2.5-llm/
QwQ-32B,32B,Yes,N/A,Qwen,Deepinfra API,https://qwenlm.github.io/blog/qwq-32b-preview/
Deepseek,236B,Yes,v2.5,Deepseek,Deepseek API,https://www.deepseek.com/
Yi-Lightning,N/A,No,N/A,01.ai,01.AI API,https://www.lingyiwanwu.com/en
