Model,Safety,Robustness,Privacy,Truthfulness,Fairness,Ethics,Avg.
GPT-4o,97.20 ,66.64 ,56.67 ,65.92 ,59.74 ,74.33 ,70.08 
GPT-4o-mini,96.30 ,69.70 ,63.51 ,52.99 ,76.36 ,80.68 ,73.26 
Claude-3.5-Sonnet,99.90 ,65.48 ,61.71 ,66.67 ,81.24 ,77.75 ,75.46 
Claude-3-Haiku,90.40 ,60.71 ,82.27 ,48.76 ,61.15 ,73.59 ,69.48 
Gemini-1.5-Pro,97.80 ,55.15 ,44.52 ,64.43 ,92.96 ,55.75 ,68.43 
Gemini-1.5-Flash,77.80 ,54.12 ,59.35 ,55.48 ,90.57 ,61.96 ,66.55 
Qwen2-VL-72B,48.90 ,63.20 ,51.37 ,62.69 ,60.34 ,92.67 ,63.19 
GLM-4V-Plus,43.00 ,60.32 ,51.28 ,61.94 ,54.65 ,87.53 ,59.79 
Llama-3.2-11B-V,61.20 ,49.72 ,93.81 ,49.76 ,52.09 ,82.89 ,64.91 
Llama-3.2-90B-V,79.20 ,51.34 ,82.91 ,55.97 ,12.60 ,1.96 ,47.33 
